case_id,main_analytic,issue_check_pass,attention_pass,major_party_identifier,intent,vignette,candidate_party,party_bloc,party_id_detail,ingroup3,state,sex,sex_num,age,edu,hincome,ideology,ft_rul,ft_opp,cm_1,cm_2,cm_3,cm_4,cm_5,cm_1_bin,cm_2_bin,cm_3_bin,cm_4_bin,cm_5_bin,conspiracy,conspiracy_z,conspiracy_full,conspiracy_additive,negative,enthusiasm,competent,sincere,trustworthy,undemocratic_perception
1,1,1,1,1,3,Control,ruling,ruling,Labor,In-group,QLD,male,1,21,1.5,0.8571428571428571,0.16666666666666666,0.9,0.71,14,4,2,2,2,0,1,0,0,0,-1.4666426087136961,-1.6176299766669588,-1.5181329032024826,1,0,0,1,0.75,0.75,0.25
2,0,0,0,0,0,Protests,ruling,Independent,No party ID,Independent,NSW,female,0,32,,0.7142857142857143,,0.49,0.5,15,3,3,3,3,0,0,0,0,0,,,-0.6825891916543231,0,0,0,0.5,0.5,0.5,0.5
3,1,1,0,1,0,Court,opposition,ruling,Labor,Out-group,NSW,female,0,53,1,0.5,0.16666666666666666,1,0,15,3,3,1,3,0,0,0,0,0,-1.30316096964119,-1.4373182917157972,-1.3511183103898206,0,0.25,0,0.5,0.5,0.5,0.5
4,1,1,1,1,2,Control,ruling,ruling,Labor,In-group,VIC,female,0,45,0.5,0.9285714285714286,0.5,0.79,0,16,4,4,3,4,1,1,1,0,1,0.1396170045478875,0.15399024306759262,0.10423432148196965,4,0,0,0.5,0.5,0.5,0.5
5,1,1,0,0,2,Control,ruling,Independent,One Nation,Independent,NSW,male,1,41,1.5,0.7857142857142857,0.5,0,0.18,16,5,4,3,1,1,1,1,0,0,-0.7092035714284635,-0.7822143921675061,-0.7826770276692253,3,0.25,0.25,0.5,0.5,0.5,0.5
6,1,1,0,0,1,Election,opposition,Independent,No party ID,Independent,VIC,female,0,31,1,0.7857142857142857,0.16666666666666666,0.33,0.585,16,4,2,2,2,1,1,0,0,0,-1.210805637426962,-1.335455197730141,-1.2579242121460283,2,0.25,0.25,0.75,0,0.25,0.5
7,1,1,1,0,3,Protests,opposition,Independent,No party ID,Independent,WA,female,0,63,1.5,0.9285714285714286,0.6666666666666666,0.18,0.255,17,5,3,4,4,1,1,0,1,1,0.565788733735144,0.6240353380658351,0.540656262935474,4,0.25,1,0,0.75,0.25,1
8,1,1,0,1,2,Court,opposition,opposition,Coalition,In-group,SA,male,1,64,0.5,0.7142857142857143,0.8333333333333334,0.25,0.765,16,3,2,2,2,1,0,0,0,0,-1.363434252369697,-1.503796565532802,-1.4006963926239693,1,0.25,0,0.25,0.25,0.25,0.75
9,0,0,0,1,2,Election,opposition,opposition,Coalition,In-group,SA,male,1,64,0.5,0.21428571428571427,0.16666666666666666,0.3,0.695,16,3,3,3,4,1,0,0,0,1,,,-0.20925700291638397,2,0,0.5,0.5,0.5,0.5,0.5
10,1,1,1,1,4,Protests,ruling,opposition,Coalition,Out-group,ACT,female,0,59,1.5,0.35714285714285715,0.6666666666666666,0.2,0.55,16,4,3,3,3,1,1,0,0,0,-0.37325446556768693,-0.4116801249601232,-0.40971266564815495,2,0.5,1,0.75,0.75,0.75,0.25
11,0,0,1,1,4,Control,opposition,ruling,Labor,Out-group,QLD,female,0,42,0.5,0.5714285714285714,0.6666666666666666,0.92,0.82,16,4,4,4,4,1,1,1,1,1,,,0.43849888084971844,5,0.25,0.25,0.5,0.5,0.5,0.5
12,1,1,1,0,0,Election,ruling,Independent,No party ID,Independent,NSW,male,1,58,0.5,0.35714285714285715,0.5,0.11,0.53,16,5,4,3,4,1,1,1,0,1,0.2922456194906223,0.3223316108702535,0.24700650195991067,4,0.25,0,0.25,0,0.25,0.75
13,1,1,1,1,3,Protests,ruling,ruling,Labor,In-group,WA,male,1,50,0.5,0.6428571428571429,0.3333333333333333,0.92,0.24,15,2,1,1,1,0,0,0,0,0,-2.4815325248150737,-2.7370003955738897,-2.521784465128011,0,0,0.5,0.75,0.75,0.75,0.25
14,1,1,0,0,2,Election,opposition,Independent,No party ID,Independent,NSW,female,0,32,0.5,0.35714285714285715,,0.37,0.08,15,3,3,3,3,0,0,0,0,0,-0.6538015661537888,-0.7211088822311932,-0.6825891916543231,0,0.625,0,0.5,0.5,0.5,0.5
15,0,0,1,0,0,Protests,ruling,Independent,No party ID,Independent,NSW,female,0,12,1,0.5714285714285714,0.16666666666666666,0.43,0.675,17,5,4,4,5,1,1,1,1,1,,,1.0546032500655986,5,0.375,0,0.5,0.5,0.5,0.5
16,1,1,1,1,1,Court,ruling,opposition,Coalition,Out-group,ACT,male,1,21,1,0.8571428571428571,0.8333333333333334,0.12,0.67,14,4,3,2,4,0,1,0,0,1,-0.619954741625093,-0.6837776076266566,-0.660958072862646,2,0.75,0.25,0.25,0.25,0,1
17,1,1,0,0,1,Protests,ruling,Independent,Independent,Independent,VIC,female,0,15,,0.5,0,0.85,0.82,16,4,4,4,4,1,1,1,1,1,0.4642967062915882,0.5120949478098947,0.43849888084971844,5,0.375,0.25,0.75,0.25,0.75,0
18,1,1,0,1,2,Court,opposition,ruling,Labor,Out-group,QLD,male,1,23,1.5,0.42857142857142855,0.5,0.85,0.61,14,3,4,4,4,0,0,1,1,1,0.055831120062119335,0.06157880107041591,0.035518009315323264,3,0,0.25,0.75,0.75,0.75,0.25
19,0,0,1,1,1,Court,ruling,opposition,Coalition,Out-group,QLD,female,0,26,1.5,0.07142857142857142,0.8333333333333334,0.62,0.54,15,3,3,3,3,0,0,0,0,0,,,-0.6825891916543231,0,0.625,0.5,0.5,0.75,0.75,0.5
20,0,0,1,1,2,Control,opposition,opposition,Coalition,In-group,VIC,male,1,43,1.5,0.7142857142857143,0.3333333333333333,0.23,0.34,16,4,1,2,2,1,1,0,0,0,,,-1.428643356066441,2,0.5,0.5,0.75,0.75,0.75,0.25
21,1,1,1,1,1,Election,ruling,opposition,Coalition,Out-group,VIC,male,1,64,1,0.7857142857142857,0.6666666666666666,0.18,0.805,16,4,2,4,4,1,1,0,1,1,0.10618656000649639,0.11711821377963598,0.09706059300889322,4,0.625,0,0.5,0.25,0.25,0.75
22,1,1,1,0,2,Election,opposition,Independent,No party ID,Independent,NSW,female,0,54,1,0.35714285714285715,0.6666666666666666,0,0.705,15,4,3,3,4,0,1,0,0,1,-0.1673565542380254,-0.18458551341594565,-0.19658916796667006,2,0.125,0.25,1,0.75,0.5,0
23,0,0,1,1,2,Protests,ruling,opposition,Coalition,Out-group,WA,female,0,35,1,0.6428571428571429,0.5,0.42,0.89,17,5,5,5,5,1,1,1,1,1,,,1.55958695335376,5,0,0.5,0.5,0.5,0.5,0.5
24,1,1,0,0,2,Control,opposition,Independent,Greens,Independent,NSW,male,1,53,1.5,0.5,0.16666666666666666,0.79,0,16,3,4,3,4,1,0,1,0,1,-0.013011610394847342,-0.014351124735068306,-0.038537858995971376,3,0,0.25,0.5,0.75,0.5,0.25
25,1,1,1,0,2,Control,opposition,Independent,No party ID,Independent,NSW,female,0,61,1.5,0.5714285714285714,0.3333333333333333,0.33,0.53,16,4,2,2,3,1,1,0,0,0,-0.8769892404539334,-0.9672731967175546,-0.9146963689363165,2,0,0,0.5,0.5,0.5,0.5
26,1,1,1,0,2,Court,ruling,Independent,No party ID,Independent,NSW,male,1,61,1,0.6428571428571429,0.5,0.6,0.69,16,4,4,4,5,1,1,1,1,1,0.7981131032646168,0.8802769488224812,0.7817267240594304,5,0,0.75,0.75,0.75,0.75,0
27,1,1,1,1,3,Court,ruling,ruling,Labor,In-group,WA,male,1,60,1,0.35714285714285715,0.3333333333333333,1,0.605,17,4,4,4,4,1,1,1,1,1,0.5922151919349552,0.6531823372783035,0.5686032263779456,5,0.125,0.5,0.5,0.5,0.5,0.5
28,1,1,1,1,3,Protests,opposition,opposition,Coalition,In-group,QLD,male,1,64,1.5,0.7142857142857143,0.3333333333333333,0.67,0.5,16,3,4,3,3,1,0,1,0,0,-0.3468280073678759,-0.3825331257476548,-0.38176570220568334,2,0,0.5,0.75,0.75,0.75,0.5
29,1,1,0,1,0,Election,ruling,ruling,Labor,In-group,NSW,female,0,59,1.5,0.2857142857142857,0,0.9,0.195,15,4,1,2,1,0,1,0,0,0,-1.8515955931859036,-2.042212955226266,-1.90197554480438,1,1,0,0,0,0,1
30,0,0,0,1,2,Protests,opposition,opposition,Coalition,In-group,NSW,male,1,64,1,0.5714285714285714,,0,1,17,5,2,3,4,1,1,0,0,1,,,0.03567255964731255,3,0,0,0.5,0.5,0.5,0.5
31,1,1,0,1,0,Election,opposition,ruling,Labor,Out-group,VIC,male,1,54,0.5,0.21428571428571427,0,0.94,0.065,16,4,4,2,3,1,1,1,0,0,-0.5188790941688417,-0.572296462687296,-0.5732580810954911,3,0.75,0,0,0,0,1
32,0,0,1,1,2,Control,ruling,opposition,Coalition,Out-group,WA,male,1,64,0.5,0.7142857142857143,0.8333333333333334,0.02,0.81,17,4,1,3,4,1,1,0,0,1,,,-0.2778187647510411,3,0.125,0.25,0.75,0.75,0.25,0
33,0,0,1,1,4,Control,ruling,ruling,Labor,In-group,NSW,male,1,59,1,0.42857142857142855,0.16666666666666666,0.8,0.2,16,5,4,4,5,1,1,1,1,1,,,0.9244989045373715,5,0,0.25,1,1,1,0
34,0,0,0,1,2,Protests,opposition,ruling,Labor,Out-group,VIC,female,0,22,1,0.6428571428571429,0.3333333333333333,1,0,15,2,2,2,2,0,0,0,0,0,,,-1.6735729186301374,0,0.75,0.75,0.75,0.75,0.5,0.25
35,0,0,0,0,2,Control,opposition,Independent,One Nation,Independent,NSW,female,0,21,1.5,0.7857142857142857,0.6666666666666666,0.28,0.385,16,4,4,4,4,1,1,1,1,1,,,0.43849888084971844,5,0.375,0.25,0.5,0.5,0.5,0.5
36,1,1,1,0,3,Protests,opposition,Independent,No party ID,Independent,NSW,female,0,60,1,0.7142857142857143,0.6666666666666666,0.91,0.095,16,4,3,3,3,1,1,0,0,0,-0.37325446556768693,-0.4116801249601232,-0.40971266564815495,2,0.75,0,0.5,0.5,0.5,0.5
37,0,0,1,0,2,Court,ruling,Independent,No party ID,Independent,QLD,female,0,50,0.5,0.14285714285714285,0.5,0.76,0.5,16,4,2,3,2,1,1,0,0,0,,,-0.9236596527782795,2,0,0,0.5,0.5,0.5,0.5
38,1,1,1,1,2,Election,ruling,ruling,Labor,In-group,NSW,female,0,50,1.5,0.9285714285714286,,1,0.41,17,5,2,5,5,1,1,0,1,1,1.0452297593093274,1.1528336768055945,1.0474295215925222,4,0.125,0.25,0.75,0.5,0.5,0.5
39,1,1,1,0,1,Court,ruling,Independent,No party ID,Independent,WA,male,1,60,1.5,0.9285714285714286,0.6666666666666666,0.65,0.575,16,3,2,2,4,1,0,0,0,1,-0.6958014584236398,-0.7674325635076291,-0.7142407062045454,2,0.125,0,0.25,0.5,0.25,1
40,0,0,1,1,0,Election,opposition,ruling,Labor,Out-group,QLD,male,1,54,0,0.2857142857142857,0.6666666666666666,1,0.01,14,3,3,2,2,0,0,0,0,0,,,-1.490185939760011,0,0.25,0,0,0,0.25,0.75
41,0,0,1,1,3,Control,opposition,opposition,Coalition,In-group,WA,male,1,59,1,0.5,0.16666666666666666,0.17,0.61,17,5,2,4,4,1,1,0,1,1,,,0.3699371190150614,4,0.25,0.25,1,0.75,1,0.25
42,0,0,1,1,3,Court,ruling,ruling,Labor,In-group,NSW,female,0,19,1,0.9285714285714286,0.16666666666666666,0.94,0.67,16,5,5,4,5,1,1,1,1,1,,,1.0952180484577843,5,0,0.75,1,1,0.75,0.25
43,0,0,1,0,0,Court,ruling,Independent,No party ID,Independent,NSW,female,0,61,0.5,0.42857142857142855,0.16666666666666666,0,0.655,16,5,4,4,3,1,1,1,1,0,,,0.23804321811794749,4,0,1,0.75,0.5,0.25,0
44,1,1,1,0,2,Protests,ruling,Independent,No party ID,Independent,NSW,male,1,49,1,0.7857142857142857,0.5,0.66,0.67,16,4,3,2,2,1,1,0,0,0,-1.0317505642844162,-1.1379668307150117,-1.0872050682256158,2,0.5,0.25,0.5,0.75,0.75,0.5
45,1,1,0,0,0,Protests,ruling,Independent,No party ID,Independent,QLD,male,1,44,1.5,0.2857142857142857,0.6666666666666666,0.1,0.1,17,5,4,4,5,1,1,1,1,1,1.0786602038507185,1.189705706093551,1.0546032500655986,5,0.625,0,0,0,0,1
46,1,1,0,1,0,Election,opposition,opposition,Coalition,In-group,SA,female,0,56,1.5,0.35714285714285715,0.8333333333333334,0,0.84,16,5,3,3,4,1,1,0,0,1,0.1131905463480764,0.12484324385512419,0.07628735803949806,3,0.75,0,0,0,0,1
47,0,0,1,0,2,Election,opposition,Independent,No party ID,Independent,NSW,female,0,15,1,0.9285714285714286,,0.6,0.5,15,3,3,3,3,0,0,0,0,0,,,-0.6825891916543231,0,0,0,0.5,0.5,0.5,0.5
48,1,1,1,0,0,Court,opposition,Independent,No party ID,Independent,QLD,male,1,59,1,0.35714285714285715,0.3333333333333333,0.62,0.5,16,3,3,4,4,1,0,0,1,1,0.13261301820630744,0.14626521299210438,0.12500755645136483,3,0.5,0,0.5,0.75,0.5,0.25
49,1,1,1,0,0,Election,opposition,Independent,No party ID,Independent,VIC,female,0,64,1.5,0.14285714285714285,0.6666666666666666,0.55,0.275,16,3,2,2,3,1,0,0,0,0,-1.0296178553966684,-1.1356145645202156,-1.0574685494142573,1,0.5,0,0.5,0.5,0,1
50,1,1,0,1,2,Election,opposition,ruling,Labor,Out-group,NSW,female,0,57,0.5,0.5,1,0.83,0.245,16,3,3,3,3,1,0,0,0,0,-0.5258830805104218,-0.5800214927627841,-0.5524848461260959,1,0,0.25,1,0.5,1,0
51,1,1,0,0,0,Control,ruling,Independent,Greens,Independent,QLD,female,0,40,0.5,0.6428571428571429,0,0,0,17,5,5,5,5,1,1,1,1,1,1.582394978736965,1.7452987778509825,1.55958695335376,5,0,0,0,0,0,1
52,1,1,1,0,3,Court,ruling,Independent,No party ID,Independent,NSW,male,1,61,1,0.7142857142857143,0.8333333333333334,0.53,0.95,17,4,4,3,4,1,1,1,0,1,0.2675354901912545,0.29507763253600156,0.23433866701019676,4,0,0.25,0.75,1,0.75,0
53,0,0,1,0,2,Protests,ruling,Independent,No party ID,Independent,QLD,male,1,49,1,0.7142857142857143,0.5,1,0.53,15,3,4,4,4,0,0,1,1,1,,,0.1656223548435503,3,0.25,0.25,0.25,0.75,0.75,0.5
54,0,0,1,0,2,Control,opposition,Independent,No party ID,Independent,NSW,female,0,37,0.5,0.14285714285714285,,0.49,0.145,16,5,4,4,4,1,1,1,1,1,,,0.5812710613276595,5,0,0,0.5,0.5,0.5,0.5
55,1,1,1,1,2,Election,ruling,ruling,Labor,In-group,WA,male,1,27,0.5,0.7857142857142857,0.16666666666666666,0.95,0.47,16,4,3,4,5,1,1,0,1,1,0.619058030122071,0.6827885818073519,0.6110075801390179,4,0.5,0.75,0.25,0,0.25,1
56,1,1,1,0,2,Protests,ruling,Independent,No party ID,Independent,WA,female,0,56,1.5,0.21428571428571427,0.6666666666666666,0.72,0.355,16,3,2,3,2,1,0,0,0,0,-1.0387545506259963,-1.1456918607905,-1.0664318332562206,1,0,0.5,0.5,0.75,0.5,0.75
57,0,0,1,0,2,Control,opposition,Independent,No party ID,Independent,VIC,female,0,39,0.5,0.7142857142857143,0.5,0.91,0.64,16,4,2,2,2,1,1,0,0,0,,,-1.2579242121460283,2,0.25,0.5,0.25,0.5,0.5,0.5
58,1,1,1,0,3,Court,opposition,Independent,No party ID,Independent,WA,male,1,62,0.5,0.6428571428571429,0.5,0.59,0.41,16,5,4,3,4,1,1,1,0,1,0.2922456194906223,0.3223316108702535,0.24700650195991067,4,0.375,0.25,0.5,0.25,0.75,0.5
59,0,0,0,1,1,Election,ruling,opposition,Coalition,Out-group,VIC,male,1,49,0.5,0.42857142857142855,0.16666666666666666,0,0.5,15,3,4,3,3,0,0,1,0,0,,,-0.5118700477339105,1,0.5,0.5,0.25,0.75,0.5,0.5
60,0,0,1,1,2,Control,ruling,ruling,Labor,In-group,WA,male,1,58,0.5,0.7142857142857143,0.5,0.86,0.25,16,4,3,3,3,1,1,0,0,0,,,-0.40971266564815495,2,0,0.25,1,1,1,0
61,1,1,0,1,0,Court,opposition,opposition,Coalition,In-group,WA,male,1,62,0.5,0.5,0.8333333333333334,0,0.45,15,4,2,3,4,0,1,0,0,1,-0.34641162738057124,-0.38207388043107493,-0.3673083118870827,2,0.5,0,0,0,0,1
62,1,1,1,0,3,Protests,opposition,Independent,One Nation,Independent,QLD,female,0,64,0.5,0.2857142857142857,0.5,0.1,0.9,17,5,5,5,5,1,1,1,1,1,1.582394978736965,1.7452987778509825,1.55958695335376,5,0,0.5,1,1,1,0
63,0,0,1,1,3,Protests,opposition,ruling,Labor,Out-group,QLD,male,1,15,1,0.7857142857142857,0.16666666666666666,0.89,0.84,16,4,4,4,4,1,1,1,1,1,,,0.43849888084971844,5,0.75,1,0.5,0.5,0.5,0.75
64,1,1,1,0,2,Control,ruling,Independent,No party ID,Independent,SA,female,0,51,1,0.42857142857142855,0,0.5,0,16,4,4,4,4,1,1,1,1,1,0.4642967062915882,0.5120949478098947,0.43849888084971844,5,0,0,0.5,0.5,0.5,0.5
65,0,0,1,0,0,Court,ruling,Independent,No party ID,Independent,VIC,female,0,51,1.5,0.2857142857142857,0.5,0,0.5,17,5,3,3,2,1,1,0,0,0,,,-0.48006398285169877,2,0.125,0,0.25,0.5,0,1
66,1,1,1,1,2,Election,opposition,opposition,Coalition,In-group,NSW,male,1,64,1,0.9285714285714286,0.5,0.26,0.84,16,2,4,3,2,1,0,1,0,0,-0.8332730192836393,-0.9190564945629023,-0.8677657258933363,2,0.125,0,0.25,0.25,0.5,0.5
67,0,0,1,0,1,Control,opposition,Independent,No party ID,Independent,QLD,male,1,50,1,0.8571428571428571,0.5,0,0.37,17,5,5,5,4,1,1,1,1,1,,,1.216359110144048,5,0.5,0,0,0,0,1
68,0,0,0,0,2,Court,ruling,Independent,No party ID,Independent,NSW,female,0,64,1,0.5,0.8333333333333334,0.49,0.655,15,3,3,3,3,0,0,0,0,0,,,-0.6825891916543231,0,0.125,0.25,0.75,0.75,0.75,0.25
69,1,1,1,0,2,Protests,opposition,Independent,No party ID,Independent,WA,female,0,56,1,0.35714285714285715,0.6666666666666666,0.17,0.7,16,5,4,4,5,1,1,1,1,1,0.9507417182073515,1.0486183166251422,0.9244989045373715,5,0.125,0,0.5,0.75,0.5,0.5
70,1,1,1,0,2,Election,opposition,Independent,No party ID,Independent,NSW,female,0,56,0.5,0.42857142857142855,0.5,0.1,0.25,16,4,4,3,4,1,1,1,0,1,0.1396170045478875,0.15399024306759262,0.10423432148196965,4,0.125,0,0.75,0.75,0.5,0.25
71,1,1,1,1,0,Control,ruling,opposition,Coalition,Out-group,NSW,male,1,49,1,0.9285714285714286,0.6666666666666666,0,0.95,14,5,2,2,2,0,1,0,0,0,-1.3140139937709614,-1.4492886088642982,-1.3753607227245415,1,0.25,0,0.25,0.25,0.25,0.25
72,1,1,1,1,0,Election,ruling,opposition,Coalition,Out-group,WA,male,1,64,1.5,0.5714285714285714,0.3333333333333333,0.6,0.8,16,4,2,4,3,1,1,0,1,0,-0.2276298369665322,-0.2510637872329506,-0.24616725020081875,3,0.625,0,0,0,0,1
73,1,1,1,1,2,Protests,ruling,ruling,Labor,In-group,WA,male,1,58,0.5,0.7142857142857143,0.5,1,0.25,16,3,3,3,3,1,0,0,0,0,-0.5258830805104218,-0.5800214927627841,-0.5524848461260959,1,0,0,1,1,1,0
74,1,1,1,1,1,Court,ruling,ruling,Labor,In-group,TAS,male,1,51,1,0.2857142857142857,0.5,0.6,0,15,4,4,3,3,0,1,1,0,0,-0.32211787806850806,-0.3552791474134028,-0.36909786725596944,2,0,0,0.25,0.25,0,0.75
75,1,1,0,0,1,Election,ruling,Independent,No party ID,Independent,NSW,female,0,32,0.5,0.35714285714285715,0.16666666666666666,0.19,0.43,14,5,5,4,4,0,1,1,1,1,0.5401434230901349,0.5957499036908671,0.49178151419161786,4,0.625,0.5,0,0,0,1
76,1,1,1,1,0,Court,opposition,ruling,Labor,Out-group,NSW,female,0,40,1,0.7857142857142857,0.16666666666666666,0.83,0.405,16,4,4,5,3,1,1,1,1,0,0.45516001106226023,0.5020176515396102,0.4295355970077553,4,0.75,0,0,0,0,1
77,0,0,1,0,3,Protests,opposition,Independent,No party ID,Independent,NSW,female,0,64,0.5,0.2857142857142857,0.5,0.92,0.285,15,2,2,3,3,0,0,0,0,0,,,-0.9960805160526767,0,0,0.5,0,1,0,1
78,0,0,1,1,4,Control,ruling,ruling,Labor,In-group,VIC,male,1,32,1.5,0,1,1,1,17,5,5,5,5,1,1,1,1,1,,,1.55958695335376,5,1,1,0,1,0,1
79,1,1,1,1,2,Court,opposition,opposition,Coalition,In-group,QLD,female,0,54,1,0.9285714285714286,0.3333333333333333,0.35,0.9,17,4,4,4,3,1,1,1,1,0,0.25839879496192664,0.28500033626571714,0.22537538316823358,4,0,0.25,0.75,0.5,0.5,0.5
80,1,1,1,0,2,Election,opposition,Independent,No party ID,Independent,WA,female,0,33,1,0.5,,0.69,0.5,15,4,3,3,3,0,1,0,0,0,-0.501172951211054,-0.5527675144285322,-0.539817011176382,1,0.125,0,0.5,0.25,0.25,0.5
81,1,1,0,1,0,Court,ruling,opposition,Coalition,Out-group,QLD,male,1,62,0,0.5714285714285714,0.8333333333333334,0.12,0.64,17,4,5,3,4,1,1,1,0,1,0.44659056333380037,0.4925659995511309,0.4050578109306094,4,1,0,0,0.5,0.5,1
82,0,0,1,0,2,Election,opposition,Independent,No party ID,Independent,WA,male,1,35,1,0.7142857142857143,,0.6,0,17,5,5,5,5,1,1,1,1,1,,,1.55958695335376,5,0.625,0.25,0,0,0,0.5
83,1,1,1,1,4,Protests,opposition,opposition,Coalition,In-group,VIC,male,1,64,0.5,0.7857142857142857,0,0,0.5,15,4,3,4,3,0,1,0,1,0,-0.17649324946735329,-0.19466280968623012,-0.20555245180863324,2,0.375,0.75,1,0,1,0
84,1,1,1,1,0,Control,opposition,opposition,Coalition,In-group,QLD,female,0,64,0.5,0.35714285714285715,,0,0.56,17,5,4,5,5,1,1,1,1,1,1.4033399055944191,1.547810410835853,1.3888678094333475,5,0.25,0.75,0.25,1,0.25,0.5
85,0,0,1,1,4,Control,ruling,ruling,Labor,In-group,NSW,male,1,64,1.5,0.6428571428571429,0.5,0.9,0.3,16,4,1,1,1,1,1,0,0,0,,,-2.106135758643902,2,0,0.5,1,1,1,0
86,0,0,1,0,2,Control,opposition,Independent,No party ID,Independent,NSW,female,0,20,1.5,0.6428571428571429,,0.41,0.42,16,5,5,3,3,1,1,1,0,0,,,0.07449780267061135,3,0,0,0.75,0.5,0.5,0.75
87,0,0,1,0,1,Court,ruling,Independent,Greens,Independent,NSW,male,1,14,1,0.5714285714285714,0.8333333333333334,0.61,0.635,16,4,4,4,4,1,1,1,1,1,,,0.43849888084971844,5,0.375,0.5,0.75,0.75,0.75,0.5
88,1,1,1,1,4,Election,ruling,opposition,Coalition,Out-group,VIC,female,0,25,1,0.9285714285714286,0,1,0.885,17,5,5,5,5,1,1,1,1,1,1.582394978736965,1.7452987778509825,1.55958695335376,5,0.875,0.75,0,0.75,0,0.75
89,1,1,1,1,3,Protests,ruling,opposition,Coalition,Out-group,VIC,female,0,64,1,0.35714285714285715,0.5,0.12,0.78,17,4,3,4,3,1,1,0,1,0,0.07934372181938068,0.08751196925058771,0.054656239247820974,3,0,0.25,0.75,0.5,0.5,0.5
90,1,1,0,0,3,Protests,opposition,Independent,No party ID,Independent,NSW,female,0,64,1.5,0.6428571428571429,0.16666666666666666,0.08,0.39,17,5,4,4,4,1,1,1,1,1,0.7448438068776899,0.8215237050809644,0.7113754068558866,5,0.625,0,0.75,0.75,0.25,0.5
91,1,1,1,1,3,Election,ruling,ruling,Labor,In-group,NSW,male,1,53,0.5,0.8571428571428571,0.3333333333333333,0.79,0.09,15,2,1,5,1,0,0,0,1,0,-1.1828137178402713,-1.3045815766046818,-1.1847262276570156,1,0.5,0.25,0.25,0,0,1
92,1,1,1,0,4,Court,opposition,Independent,No party ID,Independent,NSW,male,1,54,1,0.07142857142857142,,1,0,17,5,5,5,5,1,1,1,1,1,1.582394978736965,1.7452987778509825,1.55958695335376,5,0,0.5,1,1,1,0
93,1,1,1,0,0,Court,opposition,Independent,Greens,Independent,QLD,male,1,50,0.5,0.42857142857142855,0,0.58,0,14,4,1,1,2,0,1,0,0,0,-1.9703773835999425,-2.17322304842439,-2.0231166064906443,1,0,0,0.25,0.5,0.25,1
94,0,0,1,1,1,Control,opposition,ruling,Labor,Out-group,NSW,male,1,64,1.5,0.8571428571428571,0.16666666666666666,0.81,0.28,14,2,1,2,2,0,0,0,0,0,,,-1.9743964080787773,0,0.125,0.25,0.75,0.75,0.5,0.25
95,0,0,1,1,2,Control,opposition,opposition,Coalition,In-group,VIC,female,0,51,1,0,0.16666666666666666,0.18,0.375,17,1,5,5,5,1,0,1,1,1,,,0.988498231441996,4,0,0,0.5,0.5,0.5,0.5
96,0,0,0,1,3,Protests,ruling,ruling,Labor,In-group,QLD,female,0,17,1.5,0.7857142857142857,0,0.89,0.26,16,3,4,3,3,1,0,1,0,0,,,-0.38176570220568334,2,0.75,0.75,0.75,0.75,0.75,0.25
97,1,1,1,0,3,Protests,ruling,Independent,No party ID,Independent,NSW,female,0,30,0,0.7857142857142857,,0,0.15,17,5,5,3,5,1,1,1,0,1,0.9330355752495638,1.0290893683663784,0.8910578346182624,4,0,0.75,1,0.75,0.5,1
98,1,1,1,0,2,Election,ruling,Independent,No party ID,Independent,VIC,female,0,54,0.5,0.21428571428571427,0.5,0.58,0.045,17,4,5,4,3,1,1,1,1,0,0.4374538681044725,0.4824887032808465,0.3960945270886463,4,0.25,0.25,0.5,0,0.5,0.5
99,1,1,0,1,2,Election,opposition,ruling,Labor,Out-group,QLD,male,1,13,1,0.9285714285714286,,0.8,0.24,17,4,3,3,2,1,1,0,0,0,-0.5791523768973486,-0.6387747365043009,-0.6228361633296398,2,0.25,0.25,0.5,0.75,0.5,0.25
100,1,1,1,0,2,Court,opposition,Independent,No party ID,Independent,WA,male,1,56,0.5,0.42857142857142855,,0.93,0.5,16,3,3,3,3,1,0,0,0,0,-0.5258830805104218,-0.5800214927627841,-0.5524848461260959,1,0,0,0.5,0.5,0.5,0.25
101,1,1,1,1,1,Protests,ruling,ruling,Labor,In-group,ACT,male,1,51,0.5,0.2857142857142857,0.16666666666666666,1,0,14,2,1,1,1,0,0,0,0,0,-2.6094510104584407,-2.8780877850422986,-2.651888810656238,0,0.125,0,0.5,0.75,0.5,0.75
102,1,1,1,1,0,Court,ruling,opposition,Coalition,Out-group,VIC,male,1,60,1.5,0.7857142857142857,0.8333333333333334,0.09,0.84,14,4,2,2,3,0,1,0,0,0,-1.1328262117406676,-1.2494479756543724,-1.1749050599927706,1,0.75,0.75,0,0,0,1
103,1,1,1,0,0,Election,ruling,Independent,No party ID,Independent,QLD,male,1,47,1.5,0.35714285714285715,0.16666666666666666,0.78,0.38,16,3,2,3,2,1,0,0,0,0,-1.0387545506259963,-1.1456918607905,-1.0664318332562206,1,0.75,0,0,0,0,1
104,0,0,1,0,2,Court,opposition,Independent,No party ID,Independent,NSW,male,1,50,1,0.2857142857142857,0.16666666666666666,0,0.385,13,1,4,4,4,0,0,1,1,1,,,-0.380130697168786,3,0.375,0.75,0.5,0.5,0.5,0.5
105,1,1,1,0,3,Protests,ruling,Independent,No party ID,Independent,NSW,female,0,64,0.5,0.2857142857142857,0.8333333333333334,0,0.755,17,4,4,4,3,1,1,1,1,0,0.25839879496192664,0.28500033626571714,0.22537538316823358,4,0,0.5,1,1,1,0
