case_id,main_analytic,issue_check_pass,attention_pass,major_party_identifier,intent,vignette,candidate_party,party_bloc,party_id_detail,ingroup3,state,sex,sex_num,age,edu,hincome,ideology,ft_rul,ft_opp,cm_1,cm_2,cm_3,cm_4,cm_5,cm_1_bin,cm_2_bin,cm_3_bin,cm_4_bin,cm_5_bin,conspiracy,conspiracy_z,conspiracy_full,conspiracy_additive,negative,enthusiasm,competent,sincere,trustworthy,undemocratic_perception
627,1,1,1,1,2,Protests,opposition,ruling,Labor,Out-group,NSW,male,1,53,1.5,0.2857142857142857,0.5,0.61,0.265,15,5,4,3,2,0,1,1,0,0,-0.5033056600988018,-0.5551197806233285,-0.5695535299877403,2,0.25,0,0.75,0.75,0.75,0.5
628,1,1,1,0,1,Court,opposition,Independent,No party ID,Independent,VIC,male,1,50,1.5,0.7857142857142857,0.5,0.6,0.55,16,3,3,3,4,1,0,0,0,1,-0.19206668353739323,-0.21183949175019767,-0.20925700291638397,2,0.25,0,0.5,0.5,0.25,1
629,1,1,1,0,2,Control,ruling,Independent,No party ID,Independent,NSW,male,1,64,1,0.35714285714285715,0.5,0.68,0.6,17,4,4,3,4,1,1,1,0,1,0.2675354901912545,0.29507763253600156,0.23433866701019676,4,0,0,0.75,0.5,0.5,0.5
630,0,0,1,1,1,Election,ruling,opposition,Coalition,Out-group,NSW,female,0,35,0.5,0.9285714285714286,0.3333333333333333,0.33,0.635,15,4,4,4,4,0,1,1,1,1,,,0.30839453532149136,4,0,0,0.5,0.75,0.5,0.5
631,0,0,1,0,3,Election,ruling,Independent,No party ID,Independent,VIC,female,0,31,1.5,0.5714285714285714,0.5,0.5,0.5,16,4,4,3,4,1,1,1,0,1,,,0.10423432148196965,4,0,0,0.5,0.5,0.5,0.5
632,1,1,0,1,2,Control,ruling,ruling,Labor,In-group,NSW,female,0,7,0.5,0,0.5,0.7,0,15,3,3,3,3,0,0,0,0,0,-0.6538015661537888,-0.7211088822311932,-0.6825891916543231,0,0.5,0.5,0.5,0.5,0.5,0.5
633,1,1,1,0,2,Court,ruling,Independent,One Nation,Independent,WA,male,1,33,1.5,0.9285714285714286,1,0,0.09,13,5,4,5,3,0,1,1,1,0,0.22403316907489404,0.2470968509370443,0.18199474090101497,3,0.5,0.5,0.25,0.75,0.25,0.75
634,0,0,0,0,2,Election,opposition,Independent,No party ID,Independent,NSW,female,0,20,1,0.42857142857142855,0.5,0.8,0.07,13,4,3,3,3,0,1,0,0,0,,,-0.8000257022328364,1,0.125,0,1,1,0.5,1
635,1,1,0,0,1,Protests,opposition,Independent,No party ID,Independent,ACT,male,1,26,1.5,0.7857142857142857,0.5,0.75,0.515,16,4,3,4,4,1,1,0,1,1,0.2852416331490423,0.31460658079476533,0.26777973692930584,4,0.25,0.25,0.5,0.5,0.5,0.25
636,1,1,1,1,1,Protests,opposition,ruling,Labor,Out-group,WA,female,0,34,1,0.5714285714285714,,0.5,0.68,17,5,4,3,4,1,1,1,0,1,0.4201641051339893,0.46341900033866246,0.3771108474881378,4,0,0.5,0.25,0.5,1,0.75
