conspiracy,estimate,std_error,lower,upper,significance
-2.9247653366624062,-0.7392283030804285,0.2354080188665793,-1.2006280200589239,-0.2778285861019331,Significant
-2.909767502916533,-0.7374178008663286,0.2343063309160014,-1.1966582094616913,-0.27817739227096583,Significant
-2.8947696691706595,-0.7356072986522285,0.2332051378003084,-1.192689368740833,-0.27852522856362405,Significant
-2.8797718354247857,-0.7337967964381285,0.2321044465625637,-1.1887215117007532,-0.2788720811755036,Significant
-2.8647740016789123,-0.7319862942240285,0.23100426437682542,-1.1847546524026062,-0.2792179360454507,Significant
-2.849776167933039,-0.7301757920099285,0.22990459855112427,-1.180788805170132,-0.27956277884972497,Significant
-2.8347783341871655,-0.7283652897958286,0.2288054565305208,-1.1768239845956494,-0.27990659499600784,Significant
-2.819780500441292,-0.7265547875817286,0.22770684590024426,-1.1728602055462074,-0.2802493696172499,Significant
-2.8047826666954183,-0.7247442853676286,0.22660877438891505,-1.1688974831699022,-0.2805910875653551,Significant
-2.789784832949545,-0.7229337831535286,0.22551124987185434,-1.1649358329023631,-0.28093173340469413,Significant
-2.7747869992036716,-0.7211232809394287,0.22441428037448227,-1.160975270473414,-0.28127129140544344,Significant
-2.759789165457798,-0.7193127787253286,0.22331787407580844,-1.1570158119139131,-0.28160974553674406,Significant
-2.744791331711925,-0.7175022765112287,0.22222203931201703,-1.153057473562782,-0.2819470794596753,Significant
-2.729793497966051,-0.7156917742971287,0.2211267845801492,-1.1491002720742212,-0.28228327652003626,Significant
-2.7147956642201776,-0.7138812720830288,0.2200321185418867,-1.1451442244251266,-0.2826183197409308,Significant
-2.699797830474304,-0.7120707698689288,0.21893805002743846,-1.1411893479227082,-0.2829521918151494,Significant
-2.684799996728431,-0.7102602676548289,0.21784458803953455,-1.1372356602123166,-0.2832848750973411,Significant
-2.6698021629825575,-0.7084497654407288,0.21675174175752998,-1.1332831792854876,-0.28361635159597004,Significant
-2.6548043292366836,-0.7066392632266287,0.2156595205416225,-1.1293319234882089,-0.28394660296504864,Significant
-2.6398064954908103,-0.7048287610125288,0.2145679339371872,-1.1253819115294157,-0.2842756104956419,Significant
-2.624808661744937,-0.7030182587984288,0.21347699167923193,-1.1214331624897234,-0.28460335510713425,Significant
-2.6098108279990635,-0.7012077565843289,0.2123867036969774,-1.1174856958304047,-0.2849298173382532,Significant
-2.59481299425319,-0.6993972543702289,0.21129708011856574,-1.1135395314026177,-0.2852549773378401,Significant
-2.5798151605073167,-0.697586752156129,0.21020813127590135,-1.1095946894568955,-0.28557881485536235,Significant
-2.564817326761443,-0.6957762499420289,0.20911986770962881,-1.1056511906529014,-0.2859013092311564,Significant
-2.5498194930155695,-0.69396574772792885,0.2080323001742514,-1.1017090560694616,-0.28622243938639613,Significant
-2.534821659269696,-0.6921552455138289,0.20694543964339518,-1.0977683072148834,-0.28654218381277435,Significant
-2.519823825523823,-0.690344743299729,0.20585929731522326,-1.0938289660375666,-0.2868605205618914,Significant
-2.504825991777949,-0.688534241085629,0.20477388461800475,-1.0898910549369183,-0.2871774272343397,Significant
-2.4898281580320756,-0.686723738871529,0.20368921321584377,-1.0859545967745827,-0.28749288096847525,Significant
-2.474830324286202,-0.6849132366574291,0.2026052950145729,-1.082019614885992,-0.2878068584288662,Significant
-2.459832490540329,-0.683102734443329,0.201522142167817,-1.0780861330922504,-0.28811933579440774,Significant
-2.4448346567944554,-0.6812922322292291,0.2004397670832329,-1.0741541757123656,-0.28843028874609256,Significant
-2.429836823048582,-0.6794817300151291,0.1993581824289301,-1.0702237675758322,-0.2887396924544261,Significant
-2.4148389893027082,-0.6776712278010291,0.1982774011400784,-1.0662949340355827,-0.2890475215664754,Significant
-2.399841155556835,-0.6758607255869291,0.1971974364257093,-1.0623677009813193,-0.2893537501925389,Significant
-2.3848433218109615,-0.6740502233728292,0.19611830177571613,-1.0584420948532327,-0.28965835189242556,Significant
-2.369845488065088,-0.6722397211587292,0.19504001096806045,-1.0545181426561276,-0.2899612996613307,Significant
-2.3548476543192143,-0.6704292189446291,0.193962578076191,-1.0505958719739634,-0.2902625659152948,Significant
-2.339849820573341,-0.6686187167305292,0.19288601747668221,-1.0466753109848264,-0.2905621224762321,Significant
-2.3248519868274675,-0.6668082145164291,0.19181034385709889,-1.042756488476343,-0.2908599405565153,Significant
-2.309854153081594,-0.6649977123023292,0.1907355722240955,-1.0388394338615563,-0.291155990743102,Significant
-2.2948563193357208,-0.6631872100882292,0.189661717911757,-1.0349241771952729,-0.2914502429811855,Significant
-2.2798584855898474,-0.6613767078741293,0.1885887965901891,-1.0310107491909,-0.29174266655735864,Significant
-2.264860651843974,-0.6595662056600293,0.1875168242743665,-1.0270991812377877,-0.292033230082271,Significant
-2.2498628180981,-0.6577557034459293,0.18644581733324736,-1.023189505419094,-0.29232190147276443,Significant
-2.234864984352227,-0.6559452012318293,0.185375792499163,-1.0192817545301889,-0.29260864793346986,Significant
-2.2198671506063534,-0.6541346990177294,0.18430676687749134,-1.0153759620976124,-0.29289343593784634,Significant
-2.2048693168604796,-0.6523241968036293,0.18323875795662392,-1.0114721623986123,-0.29317623120864644,Significant
-2.189871483114606,-0.6505136945895293,0.1821717836182365,-1.007570390481273,-0.2934569986977858,Significant
-2.174873649368733,-0.6487031923754294,0.1811058621478721,-1.0036706821852588,-0.29373570256560005,Significant
-2.1598758156228595,-0.6468926901613294,0.18004101224584806,-0.9997730741631916,-0.2940123061594672,Significant
-2.144877981876986,-0.6450821879472295,0.1789772530384972,-0.995877603902684,-0.29428677199177494,Significant
-2.1298801481311127,-0.6432716857331295,0.17791460408975426,-0.9919843097490479,-0.2945590617172112,Significant
-2.1148823143852393,-0.6414611835190295,0.17685308541309883,-0.9880932309287032,-0.2948291361093558,Significant
-2.0998844806393655,-0.6396506813049294,0.17579271748386718,-0.9842044075733091,-0.29509695503654976,Significant
-2.084886646893492,-0.6378401790908295,0.17473352125194455,-0.9803178807446408,-0.29536247743701816,Significant
-2.0698888131476187,-0.6360296768767295,0.17367551815485066,-0.9764336924602368,-0.2956256612932222,Significant
-2.0548909794017454,-0.6342191746626296,0.1726187301312319,-0.9725518857198441,-0.29588646360541504,Significant
-2.0398931456558715,-0.6324086724485295,0.17156317963477286,-0.9686725045326843,-0.2961448403643747,Significant
-2.024895311909998,-0.6305981702344295,0.17050888964854216,-0.9647955939455721,-0.2964007465232869,Significant
-2.009897478164125,-0.6287876680203296,0.1694558836997854,-0.960921200071909,-0.29665413596875023,Significant
-1.9948996444182514,-0.6269771658062296,0.16840418587518174,-0.9570493701215859,-0.2969049614908734,Significant
-1.979901810672378,-0.6251666635921296,0.1673538208365779,-0.9531801524318222,-0.2971531747524369,Significant
-1.9649039769265044,-0.6233561613780296,0.16630481383721626,-0.9493135964989735,-0.29739872625708574,Significant
-1.9499061431806308,-0.6215456591639297,0.16525719073847284,-0.9454497530113364,-0.2976415653165229,Significant
-1.9349083094347574,-0.6197351569498297,0.16421097802712192,-0.9415886738829886,-0.2978816400166708,Significant
-1.919910475688884,-0.6179246547357297,0.16316620283314479,-0.9377304122886934,-0.2981188971827659,Significant
-1.9049126419430105,-0.6161141525216297,0.16212289294809987,-0.9338750226999055,-0.29835328234335395,Significant
-1.889914808197137,-0.6143036503075298,0.16108107684407333,-0.9300225609219135,-0.29858473969314603,Significant
-1.8749169744512637,-0.6124931480934297,0.16004078369322786,-0.9261730841321563,-0.2988132120547031,Significant
-1.85991914070539,-0.6106826458793297,0.1590020433879701,-0.9223266509197512,-0.29903864083890835,Significant
-1.8449213069595167,-0.6088721436652298,0.1579648865617559,-0.9184833213262713,-0.2992609660041883,Significant
-1.8299234732136431,-0.6070616414511298,0.15692934461055388,-0.9146431568878155,-0.29948012601444424,Significant
-1.8149256394677697,-0.6052511392370299,0.1558954497149889,-0.9108062206784081,-0.29969605779565167,Significant
-1.7999278057218964,-0.6034406370229298,0.15486323486318626,-0.9069725773547749,-0.2999086966910848,Significant
-1.7849299719760228,-0.6016301348088299,0.15383273387433907,-0.9031422932025345,-0.3001179764151253,Significant
-1.7699321382301494,-0.5998196325947298,0.1528039814230217,-0.8993154361838523,-0.3003238290056073,Significant
-1.754934304484276,-0.5980091303806299,0.151777013064272,-0.895492075986603,-0.30052618477465676,Significant
-1.7399364707384024,-0.5961986281665299,0.15075186525946638,-0.891672284075084,-0.3007249722579758,Significant
-1.724938636992529,-0.59438812595243,0.1497285754030122,-0.8878561337423339,-0.300920118162526,Significant
-1.7099408032466554,-0.59257762373833,0.14870718184988177,-0.8840437001640983,-0.30111154731256173,Significant
-1.694942969500782,-0.5907671215242299,0.14768772394401372,-0.8802350604544968,-0.30129918259396304,Significant
-1.6799451357549087,-0.58895661931013,0.1466702420476072,-0.8764302937234401,-0.30148294489681987,Significant
-1.664947302009035,-0.58714611709603,0.1456547775713356,-0.8726294811358478,-0.30166275305621226,Significant
-1.6499494682631617,-0.58533561488193,0.144641373005506,-0.8688327059727217,-0.30183852379113824,Significant
-1.634951634517288,-0.58352511266783,0.14363007195219138,-0.8650400536941252,-0.30201017164153493,Significant
-1.6199538007714147,-0.5817146104537301,0.14262091915836372,-0.8612516120041229,-0.30217760890333717,Significant
-1.6049559670255413,-0.5799041082396301,0.14161396055005476,-0.8574674709177375,-0.3023407455615228,Significant
-1.5899581332796677,-0.5780936060255301,0.14060924326757288,-0.8536877228299729,-0.3024994892210872,Significant
-1.5749602995337944,-0.5762831038114301,0.13960681570180453,-0.849912462586967,-0.30265374503589326,Significant
-1.5599624657879207,-0.5744726015973302,0.13860672753162748,-0.84614178755932,-0.3028034156353403,Significant
-1.5449646320420474,-0.5726620993832301,0.13760902976246553,-0.8423757977176625,-0.30294840104879767,Significant
-1.529966798296174,-0.5708515971691301,0.13661377476601153,-0.8386145957105127,-0.30308859862774756,Significant
-1.5149689645503004,-0.5690410949550302,0.1356210163211477,-0.8348582869444796,-0.3032239029655807,Significant
-1.499971130804427,-0.5672305927409302,0.13463080965609095,-0.8311069796668684,-0.303354205814992,Significant
-1.4849732970585534,-0.5654200905268302,0.13364321149178982,-0.8273607850507383,-0.3034793960029221,Significant
-1.46997546331268,-0.5636095883127302,0.13265828008660077,-0.8236198172824678,-0.3035993593429927,Significant
-1.4549776295668067,-0.5617990860986303,0.13167607528226938,-0.8198841936518783,-0.3037139785453823,Significant
-1.439979795820933,-0.5599885838845302,0.13069665855124155,-0.8161540346449636,-0.3038231331240968,Significant
-1.4249819620750597,-0.5581780816704303,0.12972009304532917,-0.8124294640392754,-0.3039266993015851,Significant
-1.4099841283291863,-0.5563675794563303,0.12874644364575275,-0.8087106090020058,-0.3040245499106549,Significant
-1.3949862945833127,-0.5545570772422304,0.12777577701458206,-0.8049976001908112,-0.30411655429364953,Significant
-1.3799884608374393,-0.5527465750281304,0.1268081616475947,-0.801290571857416,-0.3042025781988448,Significant
-1.3649906270915657,-0.5509360728140303,0.12584366792856885,-0.7975896619540253,-0.30428248367403543,Significant
-1.3499927933456923,-0.5491255705999304,0.12488236818502604,-0.7938950122425814,-0.30435612895727937,Significant
-1.334994959599819,-0.5473150683858304,0.12392433674543506,-0.7902067684068832,-0.30442336836477774,Significant
-1.3199971258539454,-0.5455045661717304,0.12296964999788632,-0.7865250801675876,-0.3044840521758732,Significant
-1.304999292108072,-0.5436940639576304,0.1220183864502413,-0.7828501014001034,-0.3045380265151575,Significant
-1.2900014583621984,-0.5418835617435305,0.12107062679175856,-0.7791819902553773,-0.3045851332316837,Significant
-1.275003624616325,-0.5400730595294305,0.12012645395619251,-0.7755209092835679,-0.30462520977529317,Significant
-1.2600057908704516,-0.5382625573153306,0.11918595318635614,-0.7718670255605886,-0.3046580890700725,Significant
-1.245007957124578,-0.5364520551012305,0.11824921210013371,-0.7682205108174925,-0.3046835993849685,Significant
-1.2300101233787046,-0.5346415528871306,0.11731632075792198,-0.7645815415726576,-0.3047015642016035,Significant
-1.215012289632831,-0.5328310506730305,0.11638737173147243,-0.7609502992667164,-0.30471180207934456,Significant
-1.2000144558869577,-0.5310205484589305,0.11546246017409882,-0.7573269704001642,-0.30471412651769686,Significant
-1.1850166221410843,-0.5292100462448306,0.11454168389220518,-0.7537117466735528,-0.30470834581610845,Significant
-1.1700187883952107,-0.5273995440307306,0.11362514341808086,-0.7501048251301692,-0.30469426293129215,Significant
-1.1550209546493373,-0.5255890418166307,0.11271294208389791,-0.7465064083010706,-0.30467167533219075,Significant
-1.140023120903464,-0.5237785396025306,0.11180518609683496,-0.7429167043523272,-0.3046403748527341,Significant
-1.1250252871575903,-0.5219680373884307,0.11090198461523924,-0.7393359272342996,-0.30460014754256176,Significant
-1.110027453411717,-0.5201575351743307,0.11000344982572462,-0.7357642968327509,-0.3045507735159105,Significant
-1.0950296196658433,-0.5183470329602307,0.10910969702108865,-0.7322020391215645,-0.3044920267988969,Significant
