contrast,conspiracy,estimate,SE,df,lower.CL,upper.CL,conspiracy_group,treatment,coefficient_label,treatment_y,group_offset,plot_y,label_y
Election - Control,-0.906661368711549,-0.729229653701626,0.14162068034044922,1219,-1.063801276530893,-0.39465803087235884,Low conspiracy (Mean - 1 SD),Election denial,-0.73,3,-0.23,2.77,2.88
Protests - Control,-0.906661368711549,-0.12783697160183227,0.14150933803158422,1219,-0.46214555391415674,0.2064716107104922,Low conspiracy (Mean - 1 SD),Protest restriction,-0.13,2,-0.23,1.77,1.8800000000000001
Court - Control,-0.906661368711549,-0.8445291900043406,0.14316643255880582,1219,-1.182752573487096,-0.5063058065215851,Low conspiracy (Mean - 1 SD),Judicial attack,-0.84,1,-0.23,0.77,0.88
Election - Control,-5.888198615187536e-17,-0.4398517305092547,0.09701137090718563,1219,-0.6690361386005264,-0.21066732241798303,Mean conspiracy,Election denial,-0.44,3,0,3,3.11
Protests - Control,-5.888198615187536e-17,0.04361619841972877,0.09940638615288609,1219,-0.19122631084383312,0.2784587076832907,Mean conspiracy,Protest restriction,0.04,2,0,2,2.11
Court - Control,-5.888198615187536e-17,-0.4956585971403603,0.09848116404797737,1219,-0.7283153164446262,-0.2630018778360944,Mean conspiracy,Judicial attack,-0.50,1,0,1,1.11
Election - Control,0.9066613687115488,-0.15047380731688353,0.1390473319582052,1219,-0.47896602604865074,0.17801841141488367,High conspiracy (Mean + 1 SD),Election denial,-0.15,3,0.23,3.23,3.34
Protests - Control,0.9066613687115488,0.21506936844128977,0.14641360934936162,1219,-0.13082530433211242,0.5609640412146919,High conspiracy (Mean + 1 SD),Protest restriction,0.22,2,0.23,2.23,2.34
Court - Control,0.9066613687115488,-0.14678800427638017,0.14231611453865287,1219,-0.48300255487371496,0.18942654632095463,High conspiracy (Mean + 1 SD),Judicial attack,-0.15,1,0.23,1.23,1.34
