ingroup_ft,N,treatment,estimate,SE,lower.CL,upper.CL,p.value,estimate_se
In-group,571,Election,-0.48762376237624594,0.14471459461202596,-0.829534535632139,-0.1457129891203529,0.002273033898924748,-0.49*** (0.14)
In-group,571,Protests,-0.0210632528221053,0.14524864740002544,-0.36423580898382,0.3221093033396094,0.991805035527683,-0.02 (0.15)
In-group,571,Court,-0.6036368342716721,0.14599003507892797,-0.9485610343173748,-0.25871263422596946,1.1338389391091219e-4,-0.60*** (0.15)
Out-group,578,Election,-0.47483118477594183,0.14687127336526884,-0.8218374475514838,-0.1278249220003998,0.003661998330094507,-0.47*** (0.15)
Out-group,578,Protests,0.013002364066191836,0.1536342114964248,-0.3499823935674849,0.37598712169986853,0.9972704171587425,0.01 (0.15)
Out-group,578,Court,-0.44444444444444753,0.14905873829372857,-0.7966189338744258,-0.09226995501446927,0.008404283007797941,-0.44*** (0.15)
