Feeling-thermometer alignment,N,Election - Control,Protests - Control,Court - Control
In-group,571,-0.49*** (0.14),-0.02 (0.15),-0.60*** (0.15)
Out-group,578,-0.47*** (0.15),0.01 (0.15),-0.44*** (0.15)
