Variable,Control,Election,Protest,Court,p-value
Male,0.35 (0.48),0.43 (0.50),0.42 (0.49),0.44 (0.50),0.211
Age,34.03 (17.42),34.45 (17.60),37.68 (17.09),36.19 (17.99),0.045
Educ.,1.01 (0.44),1.00 (0.44),1.07 (0.42),1.08 (0.43),0.078
Income,0.59 (0.27),0.61 (0.26),0.60 (0.26),0.61 (0.26),0.959
Ideology,0.46 (0.24),0.46 (0.26),0.48 (0.26),0.48 (0.27),0.691
