party_id_detail,N,treatment,estimate,SE,lower.CL,upper.CL,p.value,estimate_se
Coalition,197,Election,-0.40350877192979984,0.2570686727281653,-1.0108307247287696,0.20381318086916989,0.2764824538388846,-0.40 (0.26)
Coalition,197,Protests,0.5416666666666805,0.2650709297282421,-0.08456053155371379,1.1678938648870747,0.10782321628893277,0.54 (0.27)
Coalition,197,Court,-0.3968253968254002,0.2529070852706944,-0.9943156443660339,0.20066485071523354,0.2767676303000546,-0.40 (0.25)
Labor,282,Election,-0.7067669172932136,0.21768009439222022,-1.2210337807299063,-0.19250005385652091,0.0034870916045750544,-0.71*** (0.22)
Labor,282,Protests,-0.4063467492259819,0.22826694914441895,-0.9456249422574842,0.13293144380552036,0.18756722521506108,-0.41 (0.23)
Labor,282,Court,-0.7034055727554038,0.21993160873187384,-1.2229916144140156,-0.18381953109679194,0.0041161652131319615,-0.70*** (0.22)
Greens,44,Election,0.05357142857143227,0.4995036723310152,-1.1265005828910977,1.2336434400339624,0.9955782126846473,0.05 (0.50)
Greens,44,Protests,-0.45833333333332615,0.5144175038708035,-1.673639110148653,0.7569724434820007,0.681959517618554,-0.46 (0.51)
Greens,44,Court,0.02499999999998992,0.534598351804194,-1.2379828113056734,1.2879828113056533,0.9991794099469573,0.02 (0.53)
One Nation,47,Election,1.333333333333312,0.7001809151084832,-0.3208364889301516,2.9875031555967757,0.14583149969348708,1.33 (0.70)
One Nation,47,Protests,1.2564102564102422,0.7218783952668625,-0.4490196275354086,2.9618401403558927,0.20255592356839136,1.26 (0.72)
One Nation,47,Court,0.4166666666666302,0.7274962106961957,-1.3020352453359538,2.1353685786692145,0.8627152359317072,0.42 (0.73)
Independent,16,Election,0.6500000000000252,0.7560362395437923,-1.1361274207925385,2.436127420792589,0.7015819850868621,0.65 (0.76)
Independent,16,Protests,0.4500000000000356,0.7560362395437911,-1.3361274207925251,2.2361274207925965,0.8518017573977377,0.45 (0.76)
Independent,16,Court,-1.2499999999999756,0.9760385882941297,-3.5558805849779778,1.0558805849780266,0.4339235634862243,-1.25 (0.98)
No party ID,641,Election,-0.5028306742151272,0.12953427279963242,-0.8088539896046885,-0.19680735882556594,3.2369251038688596e-4,-0.50*** (0.13)
No party ID,641,Protests,0.04361142265551776,0.12969704861810707,-0.26279644884076525,0.3500192941518008,0.9536396212942644,0.04 (0.13)
No party ID,641,Court,-0.518563432835829,0.13197681129161262,-0.8303572189365557,-0.20676964673510223,2.669980105232117e-4,-0.52*** (0.13)
